!SIL 1.0	SIL
<UNK> 1.0	SPN
darlığı 1.0	d a r 5 1 G 1
inci 1.0	i n dZ i
kostalarda 1.0	k o s t a 5 a r d a
eski 1.0	e s c i
kırığa 1.0	k 1 r 1 a
kırığa 1.0	k 1 r 1 G a
bağlı 1.0	b a: 5 1
bağlı 1.0	b a G 5 1
kallüs 1.0	k a 5 5 y s
formasyonları 1.0	f o r m a s j o n 5 a r 1
formasyonları 1.0	f o r m a s j o n n a r 1
lümeninin 1.0	5 y m e n i n i n
sonografik 1.0	s o n o gj r a f i k
si 1.0	s i
değerinde 1.0	d e G e r i n d e
değerinde 1.0	d e: r i n d e
yükselme 1.0	j y c s e l m e
hava 1.0	h a v a
kisti 1.0	c i s t i
kısa 1.0	k 1 s a
aksı 1.0	a k s 1
geçmeyen 1.0	gj e tS m e j e n
multiple 1.0	m a 5 t i p 1 5
multiple 1.0	m u 5 t i p 1 5
lenf 1.0	l e n f
nodu 1.0	n o d u
bronşektazik 1.0	b u r o n S e k t a z i k
bronşektazik 1.0	b 1 r o n S e k t a z i k
sağda 1.0	s a: d a
sağda 1.0	s a G d a
en 1.0	e n
geniş 1.0	gj e n i S
yerinde 1.0	j e r i n d e
tarzda 1.0	t a r z d a
dansiteleri 1.0	d a n s i t e 5 e r i
bronkopnömoni 1.0	b u r o n k o p n 2 m o n i
bronkopnömoni 1.0	b 1 r o n k o p n 2 m o n i
kalınlığı 1.0	k a 5 1 n 5 1:
kalınlığı 1.0	k a 5 1 n 5 1 G 1
kalınlığı 1.0	k a 5 1 n n 1:
kalınlığı 1.0	k a 5 1 n n 1 G 1
normaldir 1.0	n o r m a 5 d i r
çıkan 1.0	tS 1 k a n
aort 1.0	a o r t
ap 1.0	e a p e
ap 1.0	e j p i:
etken 1.0	e t c e n
identifikasyonuna 1.0	i d e n t i f i k a s j o n u n a
yönelik 1.0	j 2 n e l i c
tit 1.0	t i t
idrar 1.0	i d r a r
kültüründe 1.0	c y l t y r y n d e
edilmediği 1.0	e d i l m e d i:
edilmediği 1.0	e d i l m e d i G i
raporlandı 1.0	r a p o r 5 a n d 1
böbrekte 1.0	b 2 b r e c t e
asendan 1.0	a s e n d a n
pırat 1.0	p 1 r a t
nodları 1.0	n o d 5 a r 1
evinde 1.0	e v i n d e
desteği 1.0	d e s t e G i
desteği 1.0	d e s t e j i
desteği 1.0	d e s t i:
glandda 1.0	gj 1 5 a n d a
glandda 1.0	gj 1 5 a n d
levotiroksin 1.0	5 e v o t i r o k s i n
tetkik 1.0	t e t c i c
kontrastsız 1.0	k o n t r a s t s 1 z
multislice 1.0	m u 5 t i s 1 5 a j s
multislice 1.0	m a 5 t i s 1 5 a j s
inceleme 1.0	i n dZ e l e m e
plevra 1.0	p 1 l e v r a
yaprakları 1.0	j a p r a k 5 a r 1
ince 1.0	i n dZ e
efüzyon 1.0	e f y z j o n
subkarinal 1.0	s u b k a r i n a 5
aortopulmoner 1.0	a o r t o p u 5 m o n e r
bölgede 1.0	b 2 l gj e d e
anterobazal 1.0	a n t e r o b a z a 5
imajı 1.0	i m a Z 1
yumuşak 1.0	j u m u S a k
doku 1.0	d o k u
tarihli 1.0	t a r i h l i
filmleriyle 1.0	f i l m l e r i j l e
karşılaştırıldığında 1.0	k a r S 1 5 a S t 1 r 1 5 d 1 G 1 n d a
karşılaştırıldığında 1.0	k a r S 1 5 a S t 1 r 1 5 d 1: n d a
kontrolüne 1.0	k o n t r o l y n e
kronik 1.0	k 1 r o n i c
af 1.0	a f
bulgular 1.0	b u 5 g u 5 a r
izlendiği 1.0	i z l e n d i:
izlendiği 1.0	i z l e n d i G i
konsültasyon 1.0	k o n s y l t a s j o n
notu 1.0	n o t u
pretibial 1.0	p i r e t i b i a 5
pretibial 1.0	p i r e t i b i j a 5
bilinen 1.0	b i l i n e n
fizik 1.0	f i z i c
zonlarda 1.0	z o n 5 a r d a
manşet 1.0	m a n S e t
ralleri 1.0	r a 5 5 e r i
desmont 1.0	d e s m o n t
trans 1.0	t 1 r a n s
diüretik 1.0	d i y r e t i k
dokuz 1.0	d o k u z
pnömonisinde 1.0	p i n 2 m o n i s i n d e
pnömonisinde 1.0	p y n 2 m o n i s i n d e
görülebilir 1.0	gj 2 r y l e b i l i r
ancak 1.0	a n dZ a k
nonspesifiktir 1.0	n o n s i p e s i f i k t i r
nonspesifiktir 1.0	n o n s 1 p e s i f i k t i r
dizi 1.0	d i z i
enfeksiyonda 1.0	e n f e c s i j o n d a
enfeksiyon 1.0	e n f e c s i j o n
dışı 1.0	d 1 S 1
hastalıkta 1.0	h a s t a 5 1 k t a
bulunabilir 1.0	b u 5 u n a b i l i r
me 1.0	m e
tabanlı 1.0	t a b a n 5 1
tabanlı 1.0	t a b a n n 1
fibrotik 1.0	f i b r o t i k
çekintiler 1.0	tS e c i n t i l e r
amfizematöz 1.0	a m f i z e m a t 2 z
kardiyomegali 1.0	k a r d i j o m e gj a 5 i
perikardiyal 1.0	p e r i k a r d i j a 5
bronşlar 1.0	b 1 r o n S 5 a r
açıktır 1.0	a tS 1 k t 1 r
klinik 1.0	c 1 l i n i c
laboratuar 1.0	5 a b r o t u v a r
laboratuar 1.0	5 a b r a t u v a r
laboratuar 1.0	5 a b r a t u a r
laboratuar 1.0	5 a b o r a t u a r
laboratuar 1.0	5 a b o r a t u v a r
bulgularla 1.0	b u 5 g u 5 a r 5 a
yan 1.0	j a n
yakınlarının 1.0	j a k 1 n 5 a r 1 n 1 n
yakınlarının 1.0	j a k 1 n n a r 1 n 1 n
önceden 1.0	2 n dZ e d e n
bilindiğini 1.0	b i l i n d i G i n i
bilindiğini 1.0	b i l i n d i: n i
belirttiği 1.0	b e l i r t t i:
belirttiği 1.0	b e l i r t t i G i
bulgularının 1.0	b u 5 g u 5 a r 1 n 1 n
hepsi 1.0	h e p s i
hiponatremisinin 1.0	h i p o n a t r e m i s i n i n
seyir 1.0	s e j i r
uygulanan 1.0	u j gj u 5 a n a n
ilaçlar 1.0	i l a tS 5 a r
malzemeler 1.0	m a 5 z e m e l e r
bunun 1.0	b u n u n
değerlendirildiği 1.0	d e G e r l e n d i r i l d i G i
değerlendirildiği 1.0	d e: r l e n d i r i l d i:
görülmediği 1.0	gj 2 r y l m e d i:
görülmediği 1.0	gj 2 r y l m e d i G i
öğrenildi 1.0	2 G r e n i l d i
öğrenildi 1.0	2: r e n i l d i
alanlarında 1.0	a 5 a n 5 a r 1 n d a
alanlarında 1.0	a 5 a n n a r 1 n d a
aktif 1.0	a k t i f
kaplayıcı 1.0	k a p 5 a j 1 dZ 1
kitle 1.0	c i t l e
hafif 1.0	h a f i f
bal 1.0	b a 5
peteği 1.0	p e t e G i
peteği 1.0	p e t e j i
peteği 1.0	p e t i:
görünümü 1.0	gj 2 r y n y m y
interstisyel 1.0	i n t e r s t i s j e 5
hastalığı 1.0	h a s t a 5 1:
hastalığı 1.0	h a s t a 5 1 G 1
seviyede 1.0	s e v i j e d e
ovoid 1.0	o v o i d
ovoid 1.0	o v o j i d
ovoid 1.0	o v o j i t
formda 1.0	f o r m d a
segmentlerinde 1.0	s e gj m e n t 5 e r i n d e
konsolidasyon 1.0	k o n s o l i d a s j o n
alanları 1.0	a 5 a n 5 a r 1
alanları 1.0	a 5 a n n a r 1
lokalizasyondadır 1.0	5 o k a 5 i z a s j o n d a d 1 r
boyutları 1.0	b o j u t 5 a r 1
diafragma 1.0	d i a f 1 r a gj m a
diafragma 1.0	d i j a f 1 r a gj m a
diafragma 1.0	d i j a f 1 r a k m a
diafragma 1.0	d i j a f r a gj m a
konturları 1.0	k o n t u r 5 a r 1
düzgündür 1.0	d y z gj y n d y r
gerilemiş 1.0	gj e r i l e m i S
durumda 1.0	d u r u m d a
